number,Single Thread,ThreadPoolExecutor,multiprocessing_Pool,multiprocessing_Process_Queue
260,0,0,0,0
573,0,0,0,0
300,0,0,0,0
500,0,0,0,0
248,0,0,0,0
688,0,0,0,0
350,0,0,0,0
864,0,0,0,0
768,0,0,0,0
28,0,0,0,0
736,0,0,0,0
698,0,0,0,0
898,0,0,0,0
585,0,0,0,0
380,0,0,0,0
524,0,0,0,0
432,0,0,0,0
129,0,0,0,0
817,0,0,0,0
290,0,0,0,0
461,1,1,1,1
69,0,0,0,0
984,0,0,0,0
136,0,0,0,0
205,0,0,0,0
157,1,1,1,1
591,0,0,0,0
27,0,0,0,0
977,1,1,1,1
854,0,0,0,0
890,0,0,0,0
186,0,0,0,0
289,0,0,0,0
480,0,0,0,0
402,0,0,0,0
536,0,0,0,0
419,1,1,1,1
62,0,0,0,0
623,0,0,0,0
442,0,0,0,0
185,0,0,0,0
682,0,0,0,0
177,0,0,0,0
244,0,0,0,0
346,0,0,0,0
844,0,0,0,0
609,0,0,0,0
863,1,1,1,1
17,1,1,1,1
628,0,0,0,0
999,0,0,0,0
78,0,0,0,0
268,0,0,0,0
715,0,0,0,0
693,0,0,0,0
353,1,1,1,1
743,1,1,1,1
635,0,0,0,0
970,0,0,0,0
716,0,0,0,0
547,1,1,1,1
465,0,0,0,0
62,0,0,0,0
605,0,0,0,0
860,0,0,0,0
162,0,0,0,0
607,1,1,1,1
285,0,0,0,0
776,0,0,0,0
865,0,0,0,0
738,0,0,0,0
481,0,0,0,0
717,0,0,0,0
773,1,1,1,1
801,0,0,0,0
908,0,0,0,0
444,0,0,0,0
82,0,0,0,0
705,0,0,0,0
61,1,1,1,1
865,0,0,0,0
38,0,0,0,0
999,0,0,0,0
230,0,0,0,0
323,0,0,0,0
21,0,0,0,0
961,0,0,0,0
96,0,0,0,0
63,0,0,0,0
409,1,1,1,1
877,1,1,1,1
341,0,0,0,0
176,0,0,0,0
963,0,0,0,0
444,0,0,0,0
903,0,0,0,0
523,1,1,1,1
802,0,0,0,0
161,0,0,0,0
687,0,0,0,0
91,0,0,0,0
445,0,0,0,0
750,0,0,0,0
330,0,0,0,0
944,0,0,0,0
211,1,1,1,1
78,0,0,0,0
