number,Single Thread,ThreadPoolExecutor,multiprocessing_Pool,multiprocessing_Process_Queue
207,0,0,0,0
29,1,1,1,1
440,0,0,0,0
140,0,0,0,0
259,0,0,0,0
662,0,0,0,0
272,0,0,0,0
31,1,1,1,1
337,1,1,1,1
971,1,1,1,1
646,0,0,0,0
381,0,0,0,0
474,0,0,0,0
642,0,0,0,0
86,0,0,0,0
900,0,0,0,0
931,0,0,0,0
25,0,0,0,0
778,0,0,0,0
103,1,1,1,1
733,1,1,1,1
336,0,0,0,0
26,0,0,0,0
237,0,0,0,0
194,0,0,0,0
917,0,0,0,0
178,0,0,0,0
533,0,0,0,0
654,0,0,0,0
741,0,0,0,0
442,0,0,0,0
518,0,0,0,0
301,0,0,0,0
482,0,0,0,0
221,0,0,0,0
509,1,1,1,1
201,0,0,0,0
608,0,0,0,0
10,0,0,0,0
522,0,0,0,0
299,0,0,0,0
154,0,0,0,0
663,0,0,0,0
917,0,0,0,0
522,0,0,0,0
576,0,0,0,0
946,0,0,0,0
955,0,0,0,0
360,0,0,0,0
903,0,0,0,0
973,0,0,0,0
435,0,0,0,0
639,0,0,0,0
711,0,0,0,0
878,0,0,0,0
784,0,0,0,0
580,0,0,0,0
161,0,0,0,0
24,0,0,0,0
240,0,0,0,0
379,1,1,1,1
577,1,1,1,1
568,0,0,0,0
619,1,1,1,1
320,0,0,0,0
579,0,0,0,0
250,0,0,0,0
212,0,0,0,0
827,1,1,1,1
368,0,0,0,0
899,0,0,0,0
942,0,0,0,0
910,0,0,0,0
216,0,0,0,0
275,0,0,0,0
996,0,0,0,0
388,0,0,0,0
977,1,1,1,1
302,0,0,0,0
111,0,0,0,0
618,0,0,0,0
141,0,0,0,0
891,0,0,0,0
491,1,1,1,1
623,0,0,0,0
398,0,0,0,0
712,0,0,0,0
653,1,1,1,1
893,0,0,0,0
497,0,0,0,0
759,0,0,0,0
783,0,0,0,0
266,0,0,0,0
811,1,1,1,1
551,0,0,0,0
167,1,1,1,1
338,0,0,0,1
719,1,1,1,0
921,0,0,0,0
803,0,0,0,0
451,0,0,0,0
789,0,0,0,0
828,0,0,0,0
549,0,0,0,1
241,1,1,1,0
78,0,0,0,0
186,0,0,0,0
965,0,0,0,0
944,0,0,0,0
218,0,0,0,0
985,0,0,0,0
779,0,0,0,0
150,0,0,0,1
499,1,1,1,1
757,1,1,1,1
139,1,1,1,0
623,0,0,0,0
584,0,0,0,0
396,0,0,0,1
757,1,1,1,0
136,0,0,0,0
350,0,0,0,0
676,0,0,0,1
641,1,1,1,1
929,1,1,1,0
865,0,0,0,0
930,0,0,0,0
622,0,0,0,0
327,0,0,0,0
370,0,0,0,0
799,0,0,0,0
510,0,0,0,0
412,0,0,0,0
885,0,0,0,0
720,0,0,0,0
81,0,0,0,0
757,1,1,1,1
151,1,1,1,1
371,0,0,0,0
297,0,0,0,0
457,1,1,1,1
473,0,0,0,0
635,0,0,0,0
666,0,0,0,0
888,0,0,0,0
523,1,1,1,1
898,0,0,0,0
698,0,0,0,0
128,0,0,0,0
728,0,0,0,0
7,1,1,1,1
878,0,0,0,0
326,0,0,0,0
666,0,0,0,0
658,0,0,0,0
396,0,0,0,0
705,0,0,0,0
798,0,0,0,0
460,0,0,0,0
261,0,0,0,0
337,1,1,1,1
981,0,0,0,0
853,1,1,1,1
131,1,1,1,1
243,0,0,0,0
948,0,0,0,0
562,0,0,0,0
845,0,0,0,0
569,1,1,1,1
690,0,0,0,0
248,0,0,0,0
889,0,0,0,0
379,1,1,1,1
914,0,0,0,0
550,0,0,0,0
139,1,1,1,1
604,0,0,0,0
438,0,0,0,0
556,0,0,0,0
937,1,1,1,0
248,0,0,0,1
402,0,0,0,0
809,1,1,1,0
570,0,0,0,1
206,0,0,0,0
429,0,0,0,0
261,0,0,0,0
715,0,0,0,0
163,1,1,1,1
199,1,1,1,1
510,0,0,0,0
912,0,0,0,0
874,0,0,0,0
444,0,0,0,0
962,0,0,0,0
745,0,0,0,0
589,0,0,0,0
401,1,1,1,1
632,0,0,0,0
852,0,0,0,0
651,0,0,0,0
908,0,0,0,0
423,0,0,0,0
434,0,0,0,0
454,0,0,0,0
888,0,0,0,0
531,0,0,0,0
433,1,1,1,1
218,0,0,0,0
750,0,0,0,0
109,1,1,1,1
135,0,0,0,0
417,0,0,0,0
167,1,1,1,1
224,0,0,0,0
363,0,0,0,0
942,0,0,0,0
335,0,0,0,0
160,0,0,0,0
866,0,0,0,0
967,1,1,1,0
624,0,0,0,1
431,1,1,1,0
168,0,0,0,1
820,0,0,0,0
114,0,0,0,0
697,0,0,0,0
45,0,0,0,0
575,0,0,0,0
921,0,0,0,0
18,0,0,0,0
983,1,1,1,1
379,1,1,1,1
49,0,0,0,0
958,0,0,0,0
68,0,0,0,0
398,0,0,0,0
643,1,1,1,0
469,0,0,0,1
836,0,0,0,0
86,0,0,0,0
703,0,0,0,0
90,0,0,0,0
315,0,0,0,0
488,0,0,0,0
537,0,0,0,0
108,0,0,0,0
826,0,0,0,0
338,0,0,0,0
751,1,1,1,0
74,0,0,0,1
787,1,1,1,0
968,0,0,0,1
74,0,0,0,0
273,0,0,0,0
352,0,0,0,0
395,0,0,0,0
189,0,0,0,0
839,1,1,1,1
250,0,0,0,0
324,0,0,0,0
805,0,0,0,0
20,0,0,0,0
317,1,1,1,1
814,0,0,0,0
252,0,0,0,0
926,0,0,0,0
54,0,0,0,0
834,0,0,0,0
915,0,0,0,0
562,0,0,0,0
206,0,0,0,0
471,0,0,0,0
180,0,0,0,0
690,0,0,0,0
16,0,0,0,0
239,1,1,1,1
368,0,0,0,0
274,0,0,0,0
674,0,0,0,0
22,0,0,0,0
514,0,0,0,0
246,0,0,0,0
553,0,0,0,0
919,1,1,1,1
616,0,0,0,0
638,0,0,0,0
83,1,1,1,1
652,0,0,0,0
579,0,0,0,0
682,0,0,0,0
180,0,0,0,0
980,0,0,0,0
82,0,0,0,0
219,0,0,0,0
194,0,0,0,0
881,1,1,1,1
642,0,0,0,0
352,0,0,0,0
329,0,0,0,0
8,0,0,0,0
739,1,1,1,1
998,0,0,0,0
499,1,1,1,0
595,0,0,0,1
484,0,0,0,0
683,1,1,1,1
837,0,0,0,0
826,0,0,0,0
881,1,1,1,1
25,0,0,0,0
632,0,0,0,0
460,0,0,0,0
294,0,0,0,0
86,0,0,0,0
351,0,0,0,0
751,1,1,1,1
528,0,0,0,0
837,0,0,0,0
753,0,0,0,0
540,0,0,0,0
76,0,0,0,0
229,1,1,1,1
587,1,1,1,1
498,0,0,0,0
5,1,1,1,1
20,0,0,0,0
600,0,0,0,0
451,0,0,0,0
289,0,0,0,0
301,0,0,0,0
270,0,0,0,0
621,0,0,0,0
17,1,1,1,1
211,1,1,1,1
138,0,0,0,0
748,0,0,0,0
752,0,0,0,0
382,0,0,0,0
675,0,0,0,0
92,0,0,0,0
783,0,0,0,0
503,1,1,1,1
161,0,0,0,0
48,0,0,0,0
624,0,0,0,0
370,0,0,0,0
898,0,0,0,0
765,0,0,0,0
284,0,0,0,0
265,0,0,0,0
257,1,1,1,1
647,1,1,1,1
681,0,0,0,0
408,0,0,0,0
164,0,0,0,0
35,0,0,0,0
722,0,0,0,0
661,1,1,1,1
696,0,0,0,0
616,0,0,0,0
781,0,0,0,0
766,0,0,0,0
467,1,1,1,1
160,0,0,0,0
544,0,0,0,0
553,0,0,0,0
743,1,1,1,1
522,0,0,0,0
682,0,0,0,0
269,1,1,1,1
918,0,0,0,0
709,1,1,1,1
910,0,0,0,0
789,0,0,0,1
13,1,1,1,0
365,0,0,0,0
869,0,0,0,0
756,0,0,0,0
770,0,0,0,0
686,0,0,0,0
240,0,0,0,0
96,0,0,0,0
580,0,0,0,0
